AUDIT_ID,LOAD_TS,GOLD_LANGUAGE_ROWS,GOLD_TRACK_CONTENT_ROWS,GOLD_DIFFICULTY_CONTENT_ROWS,SILVER_FACT_COURSE_ROWS,SILVER_FACT_TRACK_ROWS,GOLD_LANGUAGE_TOTAL_COURSES,GOLD_LANGUAGE_TOTAL_SUBS,GOLD_TRACK_TOTAL_COURSES,GOLD_TRACK_TOTAL_SUBS,GOLD_DIFFICULTY_TOTAL_SUBS
1,2025-12-02 22:44:33.567,3,54,3,116,115,116,16083645,214,43367771,16083645
2,2025-12-02 22:54:03.508,3,56,3,236,232,120,16126245,219,43421621,16126245
