AUDIT_ID,LOAD_TS,BRONZE_COURSES_ROW_COUNT,SILVER_DIM_COURSE_ROW_COUNT,SILVER_FACT_COURSE_ROWS,BRONZE_TRACKS_ROW_COUNT,SILVER_DIM_TRACK_ROW_COUNT,SILVER_FACT_TRACK_ROWS
1,2025-11-27 17:20:17.830,116,116,116,115,115,115
2,2025-11-27 17:22:11.545,120,120,236,117,117,232
