TRACK_SUMMARY_SK,TRACK_SK,SNAPSHOT_DATE_SK,COURSE_COUNT,TOTAL_CHAPTERS,TOTAL_EXERCISES,TOTAL_VIDEOS,TOTAL_XP,AVG_XP_PER_COURSE,AVG_TIME_HOURS,TOTAL_DURATION_HOURS,DATASETS_COUNT,PARTICIPANT_COUNT,IS_CAREER_FLAG,PREDOMINANT_DIFFICULTY_SK,LOAD_TS
56,56,3,3,10,125,40,8250,2750.00,2.00,5.00,0,1867,false,1,2025-11-24 20:09:53.593
57,57,3,3,7,82,28,6250,2083.00,2.00,7.00,0,2934,false,1,2025-11-24 20:09:53.593
58,58,3,4,10,116,38,7950,1988.00,2.00,9.00,0,23538,false,1,2025-11-24 20:09:53.593
59,59,3,5,18,217,59,17950,3590.00,3.00,15.00,9,11163,false,1,2025-11-24 20:09:53.593
60,60,3,3,12,153,44,12500,4167.00,4.00,12.00,6,15688,false,2,2025-11-24 20:09:53.593
61,61,3,4,14,174,50,14150,3538.00,3.00,13.00,21,22160,false,1,2025-11-24 20:09:53.593
62,62,3,4,17,183,48,15450,3863.00,4.00,14.00,30,7069,false,2,2025-11-24 20:09:53.593
63,63,3,4,16,209,62,16950,4238.00,4.00,16.00,14,2030,false,1,2025-11-24 20:09:53.593
64,64,3,3,12,169,46,14000,4667.00,4.00,12.00,3,8481,false,2,2025-11-24 20:09:53.593
65,65,3,4,16,197,59,16250,4063.00,4.00,17.00,3,3814,false,2,2025-11-24 20:09:53.593
66,66,3,5,16,174,57,14350,2870.00,4.00,20.00,0,4578,false,2,2025-11-24 20:09:53.593
67,67,3,4,16,228,61,19100,4775.00,4.00,16.00,15,1530,false,1,2025-11-24 20:09:53.593
68,68,3,4,16,101,36,8000,2000.00,3.00,10.00,8,1362,false,1,2025-11-24 20:09:53.593
69,69,3,4,16,204,57,17050,4263.00,4.00,16.00,9,3688,false,2,2025-11-24 20:09:53.593
70,70,3,2,4,43,14,3450,1725.00,2.00,4.00,0,1771,false,2,2025-11-24 20:09:53.593
71,71,3,4,16,197,60,13150,3288.00,4.00,14.00,0,11280,false,2,2025-11-24 20:09:53.593
72,72,3,12,45,545,151,41250,3438.00,4.00,43.00,21,9170,true,2,2025-11-24 20:09:53.593
73,73,3,4,16,202,59,16500,4125.00,4.00,16.00,14,42473,false,2,2025-11-24 20:09:53.593
74,74,3,6,26,374,105,28850,4808.00,4.00,24.00,30,9530,false,2,2025-11-24 20:09:53.593
75,75,3,21,85,1068,314,85250,4060.00,4.00,85.00,67,14337,true,2,2025-11-24 20:09:53.593
76,76,3,16,67,889,249,70550,4409.00,4.00,65.00,71,4177,true,2,2025-11-24 20:09:53.593
77,77,3,5,17,203,66,14050,2810.00,3.00,14.00,7,2873,false,2,2025-11-24 20:09:53.593
78,78,3,5,20,256,75,20750,4150.00,4.00,20.00,12,2797,false,2,2025-11-24 20:09:53.593
79,79,3,6,24,330,94,26150,4358.00,4.00,24.00,19,4960,false,2,2025-11-24 20:09:53.593
80,80,3,4,12,185,57,12250,3063.00,2.00,9.00,0,36559,false,1,2025-11-24 20:09:53.593
81,81,3,5,20,269,75,21850,4370.00,4.00,20.00,14,13511,false,2,2025-11-24 20:09:53.593
